Historical Sales,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Customer,Id,Region,Diesel Quota,,Tanks,Product,,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016
,,,,,,,,Stock,11411,19273,16726,14325,11800,19333,
,,,,,,90018584-5,BIODIESEL B7 (RETAIL),Sales,3166,2738,3109,2323,2924,2028,2830
,,,,,,,,Stock,11155,18764,16457,18724,16304,18942,
,,,,,,90018584-3,PRIMAX 95,Sales,8510,8187,7927,8463,9332,9753,8142
,,,,,,,,Stock,23137,3292,12303,23247,12377,17497,
,,,,,,,,,,,,,,,
,ZAIKAMA ENTERPRISE,90018589,NORTH2,49140,,90018589-1,PRIMAX 95,Sales,3680,4349,3630,3687,4131,4592,3357
,,,,,,,,Stock,17980,10600,26950,26950,25020,26284,
,,,,,,90018589-2,PRIMAX 95,Sales,3680,4348,3631,3687,4130,4591,3358
,,,,,,,,Stock,18456,18456,15804,8523,19440,20942,
,,,,,,90018589-3,PRIMAX 97,Sales,348,469,439,597,632,817,238
,,,,,,,,Stock,11192,10891,10400,10114,9597,8960,
,,,,,,90018589-4,BIODIESEL B7 (RETAIL),Sales,3527,2808,3889,3121,3269,2460,3200
,,,,,,,,Stock,18640,15160,17800,13949,21740,18470,
,,,,,,,,,,,,,,,
,STESYEN MINYAK PETROMEX,90018605,SOUTH1,109200,,90018605-4,PRIMAX 97,Sales,1272,1444,1199,1805,1736,1600,1200
,,,,,,,,Stock,7244,5930,10183,14546,12730,10732,
,,,,,,90018605-5,BIODIESEL B7 (RETAIL),Sales,7386,8106,7210,5474,4925,2950,5563
,,,,,,,,Stock,21471,14250,11502,15287,20524,15737,
,,,,,,90018605-3,PRIMAX 95,Sales,6649,7207,6184,6918,6898,7529,6995
,,,,,,,,Stock,9802,9427,20249,11959,22522,13648,
,,,,,,90018605-1,PRIMAX 95,Sales,6650,7207,6184,6917,6899,7529,6994
,,,,,,,,Stock,26067,15887,17197,23495,21471,18928,
,,,,,,90018605-2,PRIMAX 95,Sales,6649,7208,6184,6917,6898,7529,6995
,,,,,,,,Stock,21590,11639,12575,22979,20661,10732,
,,,,,,,,,,,,,,,
,AHA DAGANG ENTERPRISE,90018618,CENTR2,32578,,90018618-1,PRIMAX 95,Sales,4495,4940,4495,3995,3775,3995,3995
,,,,,,,,Stock,18694,24154,11604,11604,18094,10544,
,,,,,,90018618-2,PRIMAX 97,Sales,301,655,1145,1020,322,455,750
,,,,,,,,Stock,11435,11130,10080,6860,5576,10920,
,,,,,,90018618-3,PRIMAX 95,Sales,4495,4940,4495,3995,3775,3995,3995
,,,,,,,,Stock,25965,22435,22435,13445,10625,10625,
,,,,,,90018618-4,BIODIESEL B7 (RETAIL),Sales,322,1020,1254,1245,1055,321,655
,,,,,,,,Stock,12545,12183,11333,9218,7250,4775,
,,,,,,,,,,,,,,,
,STESEN MINYAK ZAINUDIN,90018622,SOUTH2,10920,,90018622-2,PRIMAX 95,Sales,2448,2697,2571,2706,3102,3262,3055
,,,,,,,,Stock,8273,2746,2745,24374,24375,18302,
,,,,,,90018622-3,PRIMAX 97,Sales,363,493,438,530,277,468,335
,,,,,,,,Stock,7558,7163,6649,11685,11114,10837,
,,,,,,90018622-4,BIODIESEL B7 (RETAIL),Sales,1760,1222,1946,1311,835,1351,1570
,,,,,,,,Stock,8065,6253,5102,8591,7341,6505,
,,,,,,90018622-1,PRIMAX 95,Sales,2448,2696,2570,2707,3102,3262,3055
,,,,,,,,Stock,22878,18186,13390,13521,7920,7789,
,,,,,,,,,,,,,,,
,SYARIKAT DAYA INSAN,90018632,CENTR3,119509,,90018632-3,PRIMAX 95,Sales,5681,5116,3536,5852,5647,4646,5178
,,,,,,,,Stock,,11597,13358,13358,20196,16816,
,,,,,,90018632-1,BIODIESEL B7 (RETAIL),Sales,6542,6839,6416,5962,4687,1616,4738
,,,,,,,,Stock,,18774,17253,15876,15569,24136,
,,,,,,90018632-2,PRIMAX 97,Sales,221,170,162,265,460,161,137
,,,,,,,,Stock,,9749,9235,9088,9014,8442,
,,,,,,90018632-4,PRIMAX 95,Sales,5680,5115,3535,5853,5647,4645,5179
,,,,,,,,Stock,,13821,18045,14253,17118,22435,
,,,,,,,,,,,,,,,
,STESEN SERVIS FAZA,90018633,CENTR1,16380,,90018633-1,PRIMAX 95,Sales,4882,5031,5304,4622,5186,4434,4927
,,,,,,,,Stock,20211,15676,16274,16347,17460,7955,
,,,,,,90018633-2,PRIMAX 97,Sales,1229,826,992,815,785,815,1152
,,,,,,,,Stock,9881,8873,8025,7193,6407,16122,
,,,,,,90018633-3,PRIMAX 95,Sales,4882,5031,5305,4622,5187,4435,4926
,,,,,,,,Stock,19643,14928,20353,9346,20211,20211,
,,,,,,90018633-4,BIODIESEL B7 (RETAIL),Sales,1050,774,743,588,693,432,871
,,,,,,,,Stock,10026,9231,8517,7747,7193,6580,
,,,,,,,,,,,,,,,
,IKATAN MULIA,90018636,NORTH2,21840,,90018636-1,BIODIESEL B7 (RETAIL),Sales,4822,3601,3703,4399,2059,1020,3725
,,,,,,,,Stock,21651,16502,13706,9900,16313,13208,
,,,,,,90018636-2,PRIMAX 95,Sales,4105,3568,3499,3603,3653,3946,4101
,,,,,,,,Stock,17325,13400,20391,18641,21260,20550,
,,,,,,90018636-3,PRIMAX 95,Sales,4105,3568,3498,3602,3654,3947,4101
,,,,,,,,Stock,21500,16860,23672,18523,18037,11900,
,,,,,,,,,,,,,,,
,STESEN SERVIS MAKMUR JAYA,90018642,NORTH1,141960,,90018642-2,PRIMAX 95,Sales,1500,1500,1400,1433,1666,1400,1500
,,,,,,,,Stock,7500,11000,11000,9000,9000,18000,
,,,,,,90018642-1,BIODIESEL B7 (RETAIL),Sales,6000,8000,6200,7500,8200,4500,8600
,,,,,,,,Stock,20000,19500,11500,16200,20000,11800,
,,,,,,90018642-3,PRIMAX 95,Sales,1500,1500,1400,1434,1667,1400,1500
,,,,,,,,Stock,11500,11500,9500,9500,7500,18500,
,,,,,,90018642-4,PRIMAX 95,Sales,1500,1500,1400,1433,1667,1400,1500
,,,,,,,,Stock,8500,11500,9000,12300,10000,18000,
,,,,,,,,,,,,,,,
,NORMYDAA ENTERPRISE,90030134,CENTR1,43680,,90030134-1,PRIMAX 95,Sales,5279,5446,5409,5424,6372,5835,5465
,,,,,,,,Stock,23476,22776,5976,4749,21566,19876,
,,,,,,90030134-2,PRIMAX 95,Sales,5279,5446,5409,5424,6373,5835,5466
,,,,,,,,Stock,4845,4845,26659,10189,10877,17616,
,,,,,,90030134-5,BIODIESEL B7 (RETAIL),Sales,1888,2503,2268,2100,1607,804,1954
,,,,,,,,Stock,12432,10235,13039,9950,8256,12887,
,,,,,,90030134-3,PRIMAX 97,Sales,1039,1689,1265,1505,1554,1710,1414
,,,,,,,,Stock,10475,9408,6675,4534,2955,14256,
,,,,,,90030134-4,PRIMAX 95,Sales,5278,5446,5409,5423,6372,5836,5465
,,,,,,,,Stock,26766,12550,23504,22359,17213,16259,
,,,,,,,,,,,,,,,
,DAYARIA SERVICES,90030200,CENTR1,54600,,90030200-3,PRIMAX 95,Sales,4555,4513,4597,4514,4563,4500,4481
,,,,,,,,Stock,16963,16927,18220,16037,13222,11827,
,,,,,,90030200-1,BIODIESEL B7 (RETAIL),Sales,2018,2183,2117,2291,1211,996,1976
,,,,,,,,Stock,13947,11836,8263,6937,9826,8193,
,,,,,,90030200-2,PRIMAX 95,Sales,4556,4514,4596,4514,4564,4501,4481
,,,,,,,,Stock,20233,10886,19976,13018,20172,12076,
,,,,,,90030200-4,PRIMAX 97,Sales,337,406,529,337,366,416,442
,,,,,,,,Stock,9636,9022,7983,7001,6693,6203,
,,,,,,,,,,,,,,,
,STESEN PETRONAS JLN HJ AHMAD,90030285,EAST2,70980,,90030285-1,BIODIESEL B7 (RETAIL),Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90030285-2,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90030285-3,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90030285-4,PRIMAX 97,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,,,,,,,,,,
,STESEN SERVIS TIMUR SEJATI,90030286,EAST2,60060,,90030286-3,PRIMAX 97,Sales,300,300,350,,300,,266
,,,,,,,,Stock,12722,12421,12100,11735,,11420,
,,,,,,90030286-4,BIODIESEL B7 (RETAIL),Sales,2122,2160,2454,,1990,,2567
,,,,,,,,Stock,17356,15100,13480,10880,,12860,
,,,,,,90030286-1,PRIMAX 95,Sales,4965,4677,4900,,4922,,4328
,,,,,,,,Stock,14324,23150,15360,22300,,21250,
,,,,,,90030286-2,PRIMAX 95,Sales,4965,4678,4900,,4923,,4327
,,,,,,,,Stock,14677,20100,15140,15880,,12450,
,,,,,,,,,,,,,,,
,BUKIT KUANG FILLING STATION,90030288,EAST1,202020,,90030288-3,PRIMAX 95,Sales,7049,6660,6919,6714,7036,7536,7698
,,,,,,,,Stock,24925,13554,16612,22071,16102,27000,
,,,,,,90030288-4,PRIMAX 95,Sales,7049,6659,6918,6714,7036,7535,7698
,,,,,,,,Stock,13321,26969,26967,13128,22048,13483,
,,,,,,90030288-1,BIODIESEL B7 (RETAIL),Sales,2465,3322,3437,744,3141,3568,3647
,,,,,,,,Stock,24881,19950,25408,18531,23989,20938,
,,,,,,90030288-2,BIODIESEL B7 (RETAIL),Sales,2464,3322,3436,745,3140,3568,3647
,,,,,,,,Stock,22026,22024,20840,26300,24811,27000,
,,,,,,,,,,,,,,,
,MEGA PRIMA RESOURCES,90030311,EAST2,245700,,90030311-4,BIODIESEL B7 (RETAIL),Sales,12232,13604,10863,10383,8940,7600,12181
,,,,,,,,Stock,19944,13259,11400,10624,11617,13117,
,,,,,,90030311-1,PRIMAX 95,Sales,7676,6783,6825,7942,7394,7580,7467
,,,,,,,,Stock,18210,18210,3546,23110,23284,23168,
,,,,,,90030311-2,PRIMAX 95,Sales,7675,6784,6825,7942,7394,7580,7467
,,,,,,,,Stock,17771,6247,26877,7991,24771,6462,
,,,,,,90030311-3,PRIMAX 95,Sales,7676,6783,6825,7943,7394,7580,7467
,,,,,,,,Stock,2367,23127,24855,24681,5684,23246,
,,,,,,,,,,,,,,,
,MARHAA ENTERPRISE,90030320,EAST1,114660,,90030320-3,PRIMAX 95,Sales,3024,3545,3622,2875,4155,4768,3588
,,,,,,,,Stock,9466,18857,13858,18077,13348,25197,
,,,,,,90030320-1,BIODIESEL B7 (RETAIL),Sales,1889,2313,1960,931,2601,1668,2069
,,,,,,,,Stock,8205,6895,12038,8647,13584,10494,
,,,,,,90030320-2,BIODIESEL B7 (RETAIL),Sales,1890,2314,1960,932,2601,1668,2068
,,,,,,,,Stock,17214,14973,10729,15388,13844,17142,
,,,,,,90030320-4,PRIMAX 95,Sales,3025,3546,3622,2875,4156,4768,3588
,,,,,,,,Stock,19285,15019,18077,12288,16473,12490,
,,,,,,,,,,,,,,,
,KHAIRUL ZAMAN ENTERPRISE,90030335,NORTH2,16380,,90030335-3,PRIMAX 95,Sales,1333,1000,1000,,667,1000,1333
,,,,,,,,Stock,6333,5000,7666,5000,,4000,
,,,,,,90030335-1,BIODIESEL B7 (RETAIL),Sales,900,800,900,,600,300,500
,,,,,,,,Stock,9000,8000,8000,7000,,4000,
,,,,,,90030335-2,PRIMAX 95,Sales,1333,1000,1000,,666,1000,1333
,,,,,,,,Stock,6333,5000,7666,8000,,3000,
,,,,,,90030335-4,PRIMAX 95,Sales,1334,1000,1000,,667,1000,1334
,,,,,,,,Stock,6333,5000,7666,5000,,4000,
,,,,,,,,,,,,,,,
,STESEN MINYAK BSJ,90030644,SOUTH2,60060,,90030644-1,PRIMAX 95,Sales,,6002,6812,5503,6732,6968,6239
,,,,,,,,Stock,,,15786,10630,18634,24988,
,,,,,,90030644-2,PRIMAX 95,Sales,,6003,6812,5504,6731,6968,6238
,,,,,,,,Stock,,,13911,21424,13482,21002,
,,,,,,90030644-3,BIODIESEL B7 (RETAIL),Sales,,3516,4105,2598,3031,2331,3969
,,,,,,,,Stock,,,18728,14807,17958,20245,
,,,,,,,,,,,,,,,
,STESEN MESRA RSH,90030716,SOUTH1,103740,,90030716-2,PRIMAX 95,Sales,0,0,0,,,,
,,,,,,,,Stock,1,1,1,1,,,
,,,,,,90030716-3,PRIMAX 95,Sales,0,0,0,,,,
,,,,,,,,Stock,1,1,1,1,,,
,,,,,,90030716-1,BIODIESEL B7 (RETAIL),Sales,0,0,0,,,,
,,,,,,,,Stock,1,11,1,1,,,
,,,,,,90030716-4,PRIMAX 97,Sales,0,0,0,,,,
,,,,,,,,Stock,1,1,1,1,,,
,,,,,,,,,,,,,,,
,RIFAIDIL ENTERPRISE,90030741,SOUTH1,65520,,90030741-4,PRIMAX 95,Sales,4465,3540,3457,4230,4055,5137,4125
,,,,,,,,Stock,14096,11066,18722,14546,21963,18242,
,,,,,,90030741-1,BIODIESEL B7 (RETAIL),Sales,1801,2090,2526,1916,1932,1121,2207
,,,,,,,,Stock,17065,15353,13255,10277,8399,11702,
,,,,,,90030741-2,PRIMAX 97,Sales,486,409,330,333,637,640,512
,,,,,,,,Stock,8953,8038,7555,7375,6552,5379,
,,,,,,90030741-3,PRIMAX 95,Sales,4464,3539,3457,4231,4055,5138,4124
,,,,,,,,Stock,17342,10281,17106,14430,19485,19091,
,,,,,,,,,,,,,,,
,KAZUMI JAYA ENTERPRISE,90030755,SOUTH1,70980,,90030755-4,PRIMAX 95,Sales,2700,2717,2369,2609,2885,2485,2536
,,,,,,,,Stock,19287,19505,13978,13978,14286,14594,
,,,,,,90030755-1,BIODIESEL B7 (RETAIL),Sales,5625,4973,4882,3997,4159,1623,6162
,,,,,,,,Stock,19631,14173,20125,15146,22027,18054,
,,,,,,90030755-2,PRIMAX 97,Sales,500,318,223,353,532,337,394
,,,,,,,,Stock,5523,5067,10195,10049,9609,9094,
,,,,,,90030755-3,PRIMAX 95,Sales,2699,2716,2370,2609,2885,2486,2537
,,,,,,,,Stock,17467,11903,17393,12515,23283,17393,
,,,,,,,,,,,,,,,
,NAZA PETROL STATION AND SERVICES,90030799,EAST2,103740,,90030799-4,PRIMAX 95,Sales,5466,,4480,5114,,5580,5000
,,,,,,,,Stock,22400,22400,,25200,25200,,
,,,,,,90030799-3,PRIMAX 95,Sales,5467,,4480,5113,,5580,5000
,,,,,,,,Stock,25300,11500,,9400,22700,,
,,,,,,90030799-1,BIODIESEL B7 (RETAIL),Sales,5200,,4030,4300,,1920,4300
,,,,,,,,Stock,19000,13800,,21050,16750,,
,,,,,,90030799-2,PRIMAX 95,Sales,5467,,4480,5113,,5580,5000
,,,,,,,,Stock,7400,4800,,26600,19800,,
,,,,,,,,,,,,,,,
,BUNGA MEKAR ENTERPRISE,90030811,CENTR1,76440,,90030811-2,PRIMAX 95,Sales,4600,4225,4534,4864,5448,4890,4486
,,,,,,,,Stock,17906,17603,24075,10546,22189,17452,
,,,,,,90030811-3,PRIMAX 95,Sales,4599,4226,4534,4864,5448,4889,4486
,,,,,,,,Stock,16689,1948,24184,24184,24065,24422,
,,,,,,90030811-1,PRIMAX 95,Sales,4599,4225,4534,4863,5448,4890,4486
,,,,,,,,Stock,25712,25712,17559,17559,12425,921,
,,,,,,90030811-4,BIODIESEL B7 (RETAIL),Sales,4902,3943,5833,5431,3935,2435,5459
,,,,,,,,Stock,24170,18786,20791,14533,14533,10515,
,,,,,,,,,,,,,,,
,LATIPAH PETROL KIOSK,90030817,SOUTH2,38220,,90030817-1,PRIMAX 95,Sales,3730,4250,4000,3400,4250,4150,4650
,,,,,,,,Stock,18680,17000,19600,10750,10700,24000,
,,,,,,90030817-4,BIODIESEL B7 (RETAIL),Sales,2100,1250,1330,2100,900,2800,1470
,,,,,,,,Stock,13850,17300,16250,14800,12800,12500,
,,,,,,90030817-2,PRIMAX 95,Sales,3730,4250,4000,3400,4250,4150,4650
,,,,,,,,Stock,7100,22500,22500,22500,15900,21300,
,,,,,,90030817-3,PRIMAX 97,Sales,3850,3570,2770,2750,2600,6500,3550
,,,,,,,,Stock,11950,8000,14900,10900,9600,23700,
,,,,,,,,,,,,,,,
,NOMAZ ENTERRPISE,90030849,NORTH2,10920,,90030849-4,PRIMAX 95,Sales,1543,1540,1417,126,1493,1523,1467
,,,,,,,,Stock,1392,1392,1392,1392,1392,14784,
,,,,,,90030849-1,BIODIESEL B7 (RETAIL),Sales,768,759,754,376,519,458,597
,,,,,,,,Stock,6648,4623,16348,15714,15279,21905,
,,,,,,90030849-2,PRIMAX 95,Sales,1542,1540,1417,125,1493,1524,1467
,,,,,,,,Stock,21290,19843,16353,12146,19077,25820,
,,,,,,90030849-3,PRIMAX 95,Sales,1543,1540,1416,125,1492,1523,1468
,,,,,,,,Stock,15522,14265,11336,9405,21644,25870,
,,,,,,,,,,,,,,,
,ONES MART ENTERPRISE,90030878,CENTR3,9129,,90030878-1,BIODIESEL B7 (RETAIL),Sales,,588,231,425,554,413,769
,,,,,,,,Stock,9889,,8042,7972,7493,6945,
,,,,,,90030878-2,PRIMAX 97,Sales,,412,337,162,290,456,371
,,,,,,,,Stock,13769,,12815,12661,12584,12046,
,,,,,,90030878-4,PRIMAX 95,Sales,,2105,1258,1105,2278,2129,2166
,,,,,,,,Stock,11762,,15084,13322,16884,18428,
,,,,,,90030878-3,PRIMAX 95,Sales,,2106,1258,1105,2278,2129,2166
,,,,,,,,Stock,7897,,11030,10582,21582,15538,
,,,,,,,,,,,,,,,
,HUZANUR ENTERPRISE,90030927,NORTH2,109200,,90030927-1,BIODIESEL B7 (RETAIL),Sales,3942,4434,4364,4582,3876,2298,3647
,,,,,,,,Stock,20355,16516,12880,8940,14963,11533,
,,,,,,90030927-5,PRIMAX 95,Sales,6351,5748,5943,7930,7257,6510,6069
,,,,,,,,Stock,25645,19819,36443,30407,32974,26803,
,,,,,,90030927-6,,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90030927-3,PRIMAX 97,Sales,1056,801,908,985,1315,1065,732
,,,,,,,,Stock,13511,12271,11809,11194,9979,8665,
,,,,,,90030927-7,,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90030927-2,BIODIESEL B7 (RETAIL),Sales,3942,4434,4365,4583,3876,2298,3647
,,,,,,,,Stock,15240,11050,17134,12400,13454,9036,
,,,,,,90030927-4,PRIMAX 95,Sales,6351,5748,5943,7929,7256,6509,6068
,,,,,,,,Stock,33866,26418,31519,25646,34569,26610,
,,,,,,,,,,,,,,,
,ZABENA ENTERPRISE,90030951,SOUTH1,54600,,90030951-1,PRIMAX 97,Sales,497,726,571,822,843,643,557
,,,,,,,,Stock,7126,6651,5919,5271,9884,9090,
,,,,,,90030951-2,PRIMAX 95,Sales,2863,3052,2690,3331,3409,3162,2969
,,,,,,,,Stock,20678,15678,20005,14377,19855,19855,
,,,,,,90030951-3,PRIMAX 95,Sales,2863,3053,2691,3332,3409,3162,2970
,,,,,,,,Stock,10393,9395,20706,20706,19357,12685,
,,,,,,90030951-4,BIODIESEL B7 (RETAIL),Sales,1523,1515,2184,1634,1180,1091,1508
,,,,,,,,Stock,13430,11939,10391,8305,12087,10904,
,,,,,,,,,,,,,,,
,STESYEN SERVIS CARISTRA,90030971,CENTR2,106233,,90030971-1,BIODIESEL B7 (RETAIL),Sales,4473,5232,,3538,,2051,4839
,,,,,,,,Stock,18663,14255,19786,,22637,,
,,,,,,90030971-2,PRIMAX 95,Sales,4177,3799,,3948,,3746,3905
,,,,,,,,Stock,20451,20634,20634,,18634,,
,,,,,,90030971-4,PRIMAX 95,Sales,4176,3799,,3948,,3746,3904
,,,,,,,,Stock,16511,4153,20269,,18633,,
,,,,,,90030971-3,PRIMAX 95,Sales,4177,3800,,3947,,3747,3905
,,,,,,,,Stock,20871,20778,20194,,22011,,
,,,,,,,,,,,,,,,
,RAZAK SERVICE ENTERPRISE,90031057,SOUTH2,1,,90031057-3,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90031057-4,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90031057-1,BIODIESEL B7 (RETAIL),Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90031057-2,PRIMAX 97,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,,,,,,,,,,
,NST MESRA KIOSK,90031173,CENTR1,343980,,90031173-3,PRIMAX 95,Sales,,5636,5629,6398,6402,6194,5880
,,,,,,,,Stock,,,15570,21820,20186,14605,
,,,,,,90031173-4,PRIMAX 95,Sales,,5637,5629,6397,6402,6194,5879
,,,,,,,,Stock,,,25365,24221,18711,10201,
,,,,,,90031173-1,BIODIESEL B7 (RETAIL),Sales,,8457,8800,7970,5513,2898,8220
,,,,,,,,Stock,,,13421,20580,18350,10457,
,,,,,,90031173-2,BIODIESEL B7 (RETAIL),Sales,,8458,8799,7969,5514,2898,8221
,,,,,,,,Stock,,,25039,22140,14006,8457,
,,,,,,90031173-5,PRIMAX 97,Sales,,530,581,800,478,336,689
,,,,,,,,Stock,,,7936,7380,6639,5821,
,,,,,,,,,,,,,,,
,AYUB HUSSEIN ENTERPRISE,90031176,SOUTH1,174720,,90031176-1,PRIMAX 95,Sales,5003,5042,5203,5253,5033,5250,5140
,,,,,,,,Stock,9400,24800,10600,10600,26100,8100,
,,,,,,90031176-2,PRIMAX 95,Sales,5003,5043,5202,5254,5034,5250,5140
,,,,,,,,Stock,8200,18800,22800,22800,10700,25000,
,,,,,,90031176-3,PRIMAX 95,Sales,5003,5042,5203,5253,5033,5250,5140
,,,,,,,,Stock,23900,9800,26100,9600,25800,26000,
,,,,,,90031176-4,BIODIESEL B7 (RETAIL),Sales,6344,6759,6230,3947,2500,3942,7377
,,,,,,,,Stock,15100,14300,17500,9500,17400,22000,
,,,,,,,,,,,,,,,
,MENORA PETROL ENTERPRISE,90031187,NORTH2,152880,,90031187-1,BIODIESEL B7 (RETAIL),Sales,6660,7675,8186,7114,6850,4688,6104
,,,,,,,,Stock,16676,15476,18720,15994,14340,18410,
,,,,,,90031187-2,PRIMAX 95,Sales,5113,3684,4133,4435,5170,6099,4329
,,,,,,,,Stock,15965,21417,27000,27000,27000,2753,
,,,,,,90031187-3,PRIMAX 95,Sales,5113,3683,4134,4435,5170,6099,4329
,,,,,,,,Stock,2677,18952,19488,23735,19890,25427,
,,,,,,90031187-4,PRIMAX 95,Sales,5113,3683,4133,4435,5170,6099,4328
,,,,,,,,Stock,24310,20544,25215,19488,20948,26068,
,,,,,,,,,,,,,,,
,PETROGREEN SERVICES,90031225,NORTH2,32760,,90031225-1,BIODIESEL B7 (RETAIL),Sales,840,650,490,670,390,270,1130
,,,,,,,,Stock,9160,8240,7680,7130,6450,11560,
,,,,,,90031225-2,PRIMAX 95,Sales,1770,1885,1950,1810,1785,1830,1985
,,,,,,,,Stock,6330,15230,13270,11350,9460,23670,
,,,,,,90031225-3,PRIMAX 95,Sales,1770,1885,1950,1810,1785,1830,1985
,,,,,,,,Stock,10520,19600,17850,15550,13930,22690,
,,,,,,,,,,,,,,,
,TEJAMAX ENTERPRISE,90031261,NORTH2,120120,,90031261-2,PRIMAX 95,Sales,3183,2638,2465,2704,3452,3556,2672
,,,,,,,,Stock,15467,15467,26338,26339,18290,18779,
,,,,,,90031261-1,PRIMAX 95,Sales,3183,2638,2465,2705,3452,3556,2671
,,,,,,,,Stock,21953,21909,15862,8514,19309,24753,
,,,,,,90031261-3,PRIMAX 95,Sales,3184,2638,2464,2704,3452,3556,2671
,,,,,,,,Stock,21301,11917,20925,20679,26169,26661,
,,,,,,90031261-4,BIODIESEL B7 (RETAIL),Sales,6493,7943,8091,8517,8447,5062,6001
,,,,,,,,Stock,17902,11483,19949,11902,19707,16733,
,,,,,,,,,,,,,,,
,ILTIZAM MAFZA PETROMART,90031298,SOUTH2,16380,,90031298-2,PRIMAX 95,Sales,5188,5307,4868,5014,4605,5085,5456
,,,,,,,,Stock,11345,3087,12024,11908,21643,18089,
,,,,,,90031298-3,PRIMAX 95,Sales,5187,5307,4867,5014,4605,5084,5456
,,,,,,,,Stock,24745,21737,13244,25535,24500,15835,
,,,,,,90031298-4,BIODIESEL B7 (RETAIL),Sales,1105,1287,1120,968,811,686,1082
,,,,,,,,Stock,10304,9865,8356,7210,5967,5071,
,,,,,,90031298-1,PRIMAX 97,Sales,2481,2453,2413,2309,2227,3417,2421
,,,,,,,,Stock,16948,14671,12446,9908,7430,16169,
,,,,,,,,,,,,,,,
,STESEN MINYAK ZAZ,90031344,CENTR3,45950,,90031344-3,PRIMAX 95,Sales,7300,6283,6258,5781,6730,6860,6667
,,,,,,,,Stock,24068,9774,7966,17594,22758,22628,
,,,,,,90031344-4,PRIMAX 95,Sales,7301,6283,6257,5780,6731,6860,6666
,,,,,,,,Stock,14437,14012,19473,19401,13227,21436,
,,,,,,90031344-1,BIODIESEL B7 (RETAIL),Sales,2382,2111,2121,2727,1535,952,2728
,,,,,,,,Stock,13387,11041,8880,12242,9495,13590,
,,,,,,90031344-2,PRIMAX 97,Sales,1099,954,1304,877,1504,1565,856
,,,,,,,,Stock,8168,6954,6007,15822,14969,13512,
,,,,,,,,,,,,,,,
,STESEN MINYAK ASSOBIRIN,90031350,CENTR2,49078,,90031350-1,PRIMAX 95,Sales,,5018,5504,5308,6432,5784,5447
,,,,,,,,Stock,,,21224,16685,10557,2465,
,,,,,,90031350-2,PRIMAX 97,Sales,,427,157,309,419,256,411
,,,,,,,,Stock,,,3907,3592,3487,2877,
,,,,,,90031350-3,PRIMAX 95,Sales,,5018,5503,5308,6433,5783,5447
,,,,,,,,Stock,,,24096,18325,23638,17877,
,,,,,,90031350-4,BIODIESEL B7 (RETAIL),Sales,,2099,1392,1466,1410,720,1667
,,,,,,,,Stock,,,7257,5940,9780,8467,
,,,,,,,,,,,,,,,
,MESRA UTARA SERVICE STATION,90031422,NORTH1,240240,,90031422-2,PRIMAX 95,Sales,6650,6550,6900,7500,6600,6150,6350
,,,,,,,,Stock,14700,20100,17800,23500,8100,19200,
,,,,,,90031422-3,PRIMAX 95,Sales,6650,6550,6900,7500,6600,6150,6350
,,,,,,,,Stock,23400,20900,20900,17800,17800,15600,
,,,,,,90031422-4,BIODIESEL B7 (RETAIL),Sales,2500,1950,2000,2450,2000,2000,2600
,,,,,,,,Stock,14400,19800,21200,21100,16400,16400,
,,,,,,90031422-5,BIODIESEL B7 (RETAIL),Sales,2500,1950,2000,2450,2000,2000,2600
,,,,,,,,Stock,19200,25600,25600,21300,20900,16400,
,,,,,,90031422-1,PRIMAX 97,Sales,1800,1800,1800,2000,2100,2100,2000
,,,,,,,,Stock,12200,10300,8400,17600,15700,13400,
,,,,,,,,,,,,,,,
,MAZA MESRA ENTERPRISE,90031430,NORTH1,92820,,90031430-3,PRIMAX 95,Sales,4779,4460,4988,4202,4830,5078,5200
,,,,,,,,Stock,17463,22414,22959,20724,12295,13795,
,,,,,,90031430-4,PRIMAX 95,Sales,4778,4459,4987,4202,4829,5077,5200
,,,,,,,,Stock,19852,16551,18007,9567,15052,25733,
,,,,,,90031430-1,BIODIESEL B7 (RETAIL),Sales,5795,6886,7047,6719,6918,8430,8515
,,,,,,,,Stock,18667,17916,22138,15021,19410,18036,
,,,,,,90031430-2,PRIMAX 97,Sales,177,817,661,556,875,825,532
,,,,,,,,Stock,6987,7405,6438,5777,10308,15327,
,,,,,,,,,,,,,,,
,REDZMAH PETROLIUM,90031433,EAST1,113740,,90031433-4,PRIMAX 95,Sales,11602,10255,12918,11767,12226,14274,11669
