Tahun,Minggu,Negeri,Daerah/Zon/PBT,Lokaliti,Jumlah Kes Terkumpul,Tempoh Wabak Berlaku (Hari)
2013,10,Sarawak,Sarikei,Sarikel Town,11,32
2013,17,Perak,K.Kangsar,Kg Baru Liman,10,35
2013,25,Selangor,Bukit Raja,Seksyen 7E B Shah Alam,18,37
2013,25,Selangor,Bukit Raja,Seksyen U2 (Pangsapuri Ilham),8,36
2013,26,Selangor,Petaling,Seksyen 7E B Shah Alam,19,43
2013,26,Selangor,Petaling,Seksyen U2 (Pangsapuri Ilham),9,42
2013,27,Selangor,Hulu Langat,Jalan Bukit Permai 1-5 Taman Bukit Permai,6,32
2013,27,Selangor,Petaling,Seksyen 7E B Shah Alam (Jln 7/101 - 7/103),21,49
2013,27,Selangor,Petaling,Seksyen U2 (Pangsapuri Ilham),9,48
2013,27,Selangor,Petaling,Pjs 10 Kondo Ridzuan,8,32
2013,28,Selangor,Petaling,Seksyen 7E B Shah Alam (Jin 7/101-7/103),21,57
2013,28,Selangor,Petaling,Pjs 10 Kondo Ridzuan,10,40
2013,29,Perlis,Kangar,Padang Katong,2,9
2013,29,P. Pinang,Barat Daya,Bandar Baru Teluk Kumbar,3,4
2013,29,P. Pinang,Barat Daya,Teluk Awak,3,16
2013,29,P. Pinang,Timur Laut,Kuarters Polis Fasa 1,2,7
2013,29,P. Pinang,Timur Laut,Pengkalan Quay (Weld Quay),4,17
2013,29,Perak,Kinta,Jln Thambusamy Ipoh,3,19
2013,29,Perak,Kinta,Taman Mansion,2,13
2013,29,Perak,Kinta,Taman Ramai,9,24
2013,29,Perak,Batang Padang,Kg Baru Cold Streem,2,11
2013,29,Perak,K.Kangsar,Taman Orkid,3,5
2013,29,Selangor,Gombak,Appt Desa Satu,3,11
2013,29,Selangor,Gombak,Appt Impian Indah,3,7
2013,29,Selangor,Gombak,Flat Tmn Samudera Timur,7,14
2013,29,Selangor,Gombak,Kg Melayu Sg Buloh (Lot 119),2,10
2013,29,Selangor,Gombak,Appt Residensi Bistaria,5,16
2013,29,Selangor,Gombak,Flat Dahlia Tmn Tun Teja,4,5
2013,29,Selangor,Gombak,Kg Sg Terentang (Lot 319),2,7
2013,29,Selangor,Gombak,Tmn Melawati J Zon 2,2,14
