STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AL,1975Q1,24784.08,23544.88,1239.20,5.0%,0.222,0.000
AL,1975Q2,25101.64,23846.56,1255.08,5.0%,0.225,0.000
AL,1975Q3,25472.21,24198.60,1273.61,5.0%,0.228,0.000
AL,1975Q4,25903.27,24608.11,1295.16,5.0%,0.232,0.000
AL,1976Q1,26447.31,25124.95,1322.37,5.0%,0.237,0.000
AL,1976Q2,27058.91,25695.52,1363.38,5.0%,0.242,0.000
AL,1976Q3,27747.72,26134.95,1612.77,5.8%,0.248,0.000
AL,1976Q4,28531.95,26653.64,1878.31,6.6%,0.255,0.000
AL,1977Q1,29394.22,27217.21,2177.01,7.4%,0.263,0.000
AL,1977Q2,30305.91,27803.96,2501.95,8.3%,0.271,0.000
AL,1977Q3,31232.04,28387.94,2844.10,9.1%,0.280,0.000
AL,1977Q4,32123.79,28944.88,3178.91,9.9%,0.288,0.000
AL,1978Q1,33016.09,29468.28,3547.82,10.7%,0.296,0.000
AL,1978Q2,33972.51,29977.91,3994.60,11.8%,0.304,0.000
AL,1978Q3,34999.99,30524.36,4475.63,12.8%,0.313,0.000
AL,1978Q4,35986.01,31151.76,4834.25,13.4%,0.322,0.000
AL,1979Q1,36896.92,31886.16,5010.76,13.6%,0.330,0.000
AL,1979Q2,37707.51,32707.19,5000.32,13.3%,0.338,0.000
AL,1979Q3,38429.98,33567.79,4862.19,12.7%,0.344,0.000
AL,1979Q4,39064.25,34424.56,4639.69,11.9%,0.350,0.000
AL,1980Q1,39592.62,35238.99,4353.63,11.0%,0.354,0.000
AL,1980Q2,40192.66,36005.79,4186.87,10.4%,0.360,0.000
AL,1980Q3,40851.71,36720.35,4131.36,10.1%,0.366,0.000
AL,1980Q4,41428.17,37379.43,4048.74,9.8%,0.371,0.000
AL,1981Q1,41923.34,37990.02,3933.32,9.4%,0.375,0.000
AL,1981Q2,42377.53,38577.41,3800.12,9.0%,0.379,0.000
AL,1981Q3,42750.67,39184.33,3566.34,8.3%,0.383,0.000
AL,1981Q4,43025.04,39850.56,3174.48,7.4%,0.385,0.000
AL,1982Q1,43326.56,40598.34,2728.21,6.3%,0.388,0.000
AL,1982Q2,43738.24,41371.81,2366.43,5.4%,0.392,0.000
AL,1982Q3,44314.28,42098.56,2215.71,5.0%,0.397,0.000
AL,1982Q4,45054.61,42801.88,2252.73,5.0%,0.403,0.000
AL,1983Q1,45820.67,43529.64,2291.03,5.0%,0.410,0.000
AL,1983Q2,46584.50,44255.28,2329.23,5.0%,0.417,0.000
AL,1983Q3,47367.18,44998.82,2368.36,5.0%,0.424,0.000
AL,1983Q4,48162.21,45754.10,2408.11,5.0%,0.431,0.000
AL,1984Q1,48991.91,46542.32,2449.60,5.0%,0.439,0.000
AL,1984Q2,49735.51,47248.73,2486.78,5.0%,0.445,0.001
AL,1984Q3,50417.43,47896.56,2520.87,5.0%,0.451,0.001
AL,1984Q4,51031.60,48480.02,2551.58,5.0%,0.457,0.001
AL,1985Q1,51697.03,49112.18,2584.85,5.0%,0.463,0.001
AL,1985Q2,52485.04,49860.79,2624.25,5.0%,0.470,0.001
AL,1985Q3,53375.31,50706.55,2668.77,5.0%,0.478,0.001
AL,1985Q4,54327.76,51611.37,2716.39,5.0%,0.486,0.001
AL,1986Q1,55337.34,52570.47,2766.87,5.0%,0.495,0.002
AL,1986Q2,56396.09,53576.28,2819.80,5.0%,0.505,0.002
AL,1986Q3,57465.14,54591.88,2873.26,5.0%,0.514,0.003
AL,1986Q4,58499.59,55574.61,2924.98,5.0%,0.524,0.004
AL,1987Q1,59450.29,56477.77,2972.51,5.0%,0.532,0.005
AL,1987Q2,60285.50,57271.22,3014.27,5.0%,0.540,0.006
AL,1987Q3,61009.58,57959.11,3050.48,5.0%,0.546,0.006
AL,1987Q4,61662.34,58579.23,3083.12,5.0%,0.552,0.007
AL,1988Q1,62297.45,59182.58,3114.87,5.0%,0.558,0.008
AL,1988Q2,62862.55,59719.42,3143.13,5.0%,0.563,0.009
AL,1988Q3,63354.59,60186.86,3167.73,5.0%,0.567,0.009
AL,1988Q4,63831.36,60639.79,3191.57,5.0%,0.571,0.010
AL,1989Q1,64371.49,61152.92,3218.57,5.0%,0.576,0.010
AL,1989Q2,64998.89,61748.94,3249.94,5.0%,0.582,0.011
AL,1989Q3,65674.94,62391.19,3283.75,5.0%,0.588,0.012
AL,1989Q4,66332.68,63016.05,3316.63,5.0%,0.594,0.014
AL,1990Q1,66950.19,63602.68,3347.51,5.0%,0.599,0.015
AL,1990Q2,67566.27,64187.96,3378.31,5.0%,0.605,0.017
AL,1990Q3,68127.39,64721.02,3406.37,5.0%,0.610,0.019
AL,1990Q4,68740.01,65303.01,3437.00,5.0%,0.615,0.021
AL,1991Q1,69439.54,65967.57,3471.98,5.0%,0.622,0.023
AL,1991Q2,70225.74,66714.45,3511.29,5.0%,0.629,0.027
AL,1991Q3,71080.67,67526.64,3554.03,5.0%,0.636,0.031
AL,1991Q4,71999.53,68399.55,3599.98,5.0%,0.645,0.037
AL,1992Q1,72983.99,69334.79,3649.20,5.0%,0.653,0.045
AL,1992Q2,74026.68,70325.35,3701.33,5.0%,0.663,0.055
AL,1992Q3,75150.89,71393.35,3757.54,5.0%,0.673,0.068
AL,1992Q4,76325.81,72509.52,3816.29,5.0%,0.683,0.083
AL,1993Q1,77519.92,73643.92,3876.00,5.0%,0.694,0.100
AL,1993Q2,78729.03,74792.58,3936.45,5.0%,0.705,0.117
AL,1993Q3,79962.74,75964.60,3998.14,5.0%,0.716,0.137
AL,1993Q4,81198.91,77138.96,4059.95,5.0%,0.727,0.162
AL,1994Q1,82415.68,78294.89,4120.78,5.0%,0.738,0.193
AL,1994Q2,83592.10,79235.62,4356.48,5.2%,0.748,0.230
AL,1994Q3,84708.56,79654.85,5053.71,6.0%,0.758,0.267
AL,1994Q4,85789.31,80168.12,5621.19,6.6%,0.768,0.297
AL,1995Q1,86858.87,80825.60,6033.28,6.9%,0.778,0.320
AL,1995Q2,87945.16,81578.12,6367.04,7.2%,0.787,0.338
AL,1995Q3,89070.46,82367.57,6702.89,7.5%,0.797,0.356
AL,1995Q4,90221.94,83132.36,7089.58,7.9%,0.808,0.377
AL,1996Q1,91395.55,83815.24,7580.31,8.3%,0.818,0.403
AL,1996Q2,92568.82,84411.88,8156.93,8.8%,0.829,0.434
AL,1996Q3,93706.74,84910.76,8795.98,9.4%,0.839,0.468
AL,1996Q4,94808.38,85305.11,9503.27,10.0%,0.849,0.507
AL,1997Q1,95868.25,85605.27,10262.98,10.7%,0.858,0.548
AL,1997Q2,96901.77,85892.94,11008.83,11.4%,0.867,0.589
AL,1997Q3,97963.95,86265.85,11698.11,11.9%,0.877,0.627
AL,1997Q4,99075.80,86821.94,12253.86,12.4%,0.887,0.658
AL,1998Q1,100276.07,87633.62,12642.46,12.6%,0.898,0.681
AL,1998Q2,101563.89,88587.08,12976.81,12.8%,0.909,0.701
AL,1998Q3,102909.68,89570.09,13339.60,13.0%,0.921,0.722
AL,1998Q4,104268.36,90459.13,13809.22,13.2%,0.933,0.748
AL,1999Q1,105595.42,91162.58,14432.84,13.7%,0.945,0.783
AL,1999Q2,106887.22,91702.75,15184.47,14.2%,0.957,0.825
AL,1999Q3,108149.35,92138.06,16011.30,14.8%,0.968,0.871
AL,1999Q4,109385.38,92525.11,16860.27,15.4%,0.979,0.917
AL,2000Q1,110576.33,92878.48,17697.86,16.0%,0.990,0.961
AL,2000Q2,111712.30,93321.67,18390.63,16.5%,1.000,1.000
AL,2000Q3,112819.53,93847.40,18972.13,16.8%,1.010,1.033
AL,2000Q4,113941.99,94485.12,19456.87,17.1%,1.020,1.062
AL,2001Q1,115114.80,95311.25,19803.55,17.2%,1.030,1.087
AL,2001Q2,116336.31,96164.06,20172.25,17.3%,1.041,1.109
AL,2001Q3,117598.65,97065.44,20533.21,17.5%,1.053,1.131
AL,2001Q4,118913.88,97980.48,20933.39,17.6%,1.064,1.154
AL,2002Q1,120296.09,98821.85,21474.23,17.9%,1.077,1.181
AL,2002Q2,121755.56,99629.48,22126.07,18.2%,1.090,1.218
AL,2002Q3,123308.88,100281.56,23027.32,18.7%,1.104,1.268
AL,2002Q4,124959.42,100701.36,24258.06,19.4%,1.119,1.338
AL,2003Q1,126668.02,100911.08,25756.94,20.3%,1.134,1.424
AL,2003Q2,128440.28,101136.84,27303.44,21.3%,1.150,1.511
AL,2003Q3,130276.94,101765.87,28511.07,21.9%,1.166,1.579
AL,2003Q4,132180.10,103159.95,29020.16,22.0%,1.183,1.609
AL,2004Q1,134247.49,105521.60,28725.90,21.4%,1.202,1.593
AL,2004Q2,136569.23,108530.39,28038.83,20.5%,1.223,1.556
AL,2004Q3,139172.50,111668.86,27503.64,19.8%,1.246,1.528
AL,2004Q4,142034.18,114435.39,27598.78,19.4%,1.271,1.535
AL,2005Q1,145178.41,116480.03,28698.38,19.8%,1.300,1.598
AL,2005Q2,148606.92,118097.13,30509.79,20.5%,1.330,1.701
AL,2005Q3,152310.23,119719.22,32591.01,21.4%,1.363,1.820
AL,2005Q4,156196.11,121783.37,34412.73,22.0%,1.398,1.925
AL,2006Q1,160082.86,124571.41,35511.44,22.2%,1.433,1.991
AL,2006Q2,163778.01,127684.23,36093.78,22.0%,1.466,2.027
AL,2006Q3,167140.48,130588.62,36551.86,21.9%,1.496,2.057
AL,2006Q4,170067.23,132743.44,37323.79,21.9%,1.522,2.105
AL,2007Q1,172456.45,133836.78,38619.67,22.4%,1.544,2.184
AL,2007Q2,174222.99,134313.03,39909.97,22.9%,1.560,2.261
AL,2007Q3,175289.67,134896.20,40393.46,23.0%,1.569,2.293
AL,2007Q4,175691.70,136289.41,39402.29,22.4%,1.573,2.240
AL,2008Q1,175509.89,138940.92,36568.96,20.8%,1.571,2.082
AL,2008Q2,174909.57,142223.21,32686.36,18.7%,1.566,1.863
AL,2008Q3,174100.81,145271.22,28829.59,16.6%,1.558,1.645
AL,2008Q4,173294.01,147212.85,26081.16,15.1%,1.551,1.489
AL,2009Q1,172549.79,147444.71,25105.08,14.5%,1.545,1.433
AL,2009Q2,171734.08,146471.10,25262.98,14.7%,1.537,1.443
AL,2009Q3,170753.41,145055.22,25698.19,15.0%,1.529,1.468
AL,2009Q4,169554.96,143964.57,25590.39,15.1%,1.518,1.462
AL,2010Q1,167815.89,143760.61,24055.28,14.3%,1.502,1.372
AL,2010Q2,165802.14,144426.53,21375.61,12.9%,1.484,1.219
AL,2010Q3,163758.82,145654.97,18103.85,11.1%,1.466,1.033
AL,2010Q4,161896.81,147172.31,14724.50,9.1%,1.449,0.841
AL,2011Q1,160572.54,148751.33,11821.20,7.4%,1.437,0.676
AL,2011Q2,160045.59,150281.05,9764.54,6.1%,1.433,0.559
AL,2011Q3,160369.90,151719.72,8650.18,5.4%,1.436,0.495
AL,2011Q4,161406.67,153015.86,8390.81,5.2%,1.445,0.481
AL,2012Q1,162965.04,154140.98,8824.06,5.4%,1.459,0.506
AL,2012Q2,164767.29,155167.76,9599.52,5.8%,1.475,0.550
AL,2012Q3,166630.98,156189.81,10441.16,6.3%,1.492,0.599
AL,2012Q4,168627.64,157301.63,11326.01,6.7%,1.509,0.650
AL,2013Q1,170683.18,158574.09,12109.09,7.1%,1.528,0.695
AL,2013Q2,172782.41,159984.76,12797.65,7.4%,1.547,0.735
AL,2013Q3,174873.98,161487.87,13386.11,7.7%,1.565,0.769
AL,2013Q4,176896.36,163037.63,13858.73,7.8%,1.583,0.797
AL,2014Q1,178892.93,166016.91,12876.02,7.2%,1.601,0.741
AL,2014Q2,180962.29,166086.13,14876.16,8.2%,1.620,0.857
AL,2014Q3,183210.49,169511.52,13698.97,7.5%,1.640,0.789
AL,2014Q4,185571.80,172845.29,12726.51,6.9%,1.661,0.734
AL,2015Q1,187849.49,172904.63,14944.86,8.0%,1.682,0.862
AL,2015Q2,190092.39,171133.22,18959.17,10.0%,1.702,1.095
AL,2015Q3,192154.87,171944.96,20209.91,10.5%,1.720,1.168
AL,2015Q4,194063.22,173452.06,20611.16,10.6%,1.737,1.192
AL,2016Q1,195946.21,175060.55,20885.65,10.7%,1.754,1.209
AK,1975Q1,53765.45,39547.54,14217.92,26.4%,0.354,0.066
AK,1975Q2,55530.82,40933.19,14597.63,26.3%,0.365,0.069
AK,1975Q3,57322.20,42470.35,14851.85,25.9%,0.377,0.071
AK,1975Q4,59078.81,44034.35,15044.46,25.5%,0.389,0.073
AK,1976Q1,60772.02,45540.48,15231.54,25.1%,0.400,0.075
AK,1976Q2,62357.41,46902.20,15455.21,24.8%,0.410,0.077
AK,1976Q3,63840.69,48126.21,15714.48,24.6%,0.420,0.079
AK,1976Q4,65254.66,49197.29,16057.37,24.6%,0.429,0.081
AK,1977Q1,66586.23,50007.40,16578.83,24.9%,0.438,0.084
AK,1977Q2,67768.03,50860.38,16907.65,24.9%,0.446,0.086
AK,1977Q3,69123.70,51719.69,17404.01,25.2%,0.455,0.089
AK,1977Q4,70687.94,52653.45,18034.49,25.5%,0.465,0.092
AK,1978Q1,72622.34,53774.14,18848.19,26.0%,0.478,0.097
AK,1978Q2,74981.32,55006.96,19974.36,26.6%,0.494,0.104
AK,1978Q3,77392.00,56432.73,20959.27,27.1%,0.509,0.109
AK,1978Q4,79656.58,58083.74,21572.85,27.1%,0.524,0.113
AK,1979Q1,81622.66,59913.14,21709.52,26.6%,0.537,0.113
AK,1979Q2,82957.05,61781.79,21175.26,25.5%,0.546,0.111
AK,1979Q3,83185.75,63398.78,19786.97,23.8%,0.548,0.104
AK,1979Q4,82430.13,64503.54,17926.60,21.7%,0.543,0.094
AK,1980Q1,81066.92,64874.36,16192.55,20.0%,0.534,0.085
AK,1980Q2,79813.69,64860.24,14953.45,18.7%,0.525,0.079
AK,1980Q3,80332.33,64718.52,15613.80,19.4%,0.529,0.083
AK,1980Q4,83683.26,64776.91,18906.35,22.6%,0.551,0.101
AK,1981Q1,89274.99,65288.08,23986.90,26.9%,0.588,0.129
AK,1981Q2,96559.77,66283.28,30276.49,31.4%,0.636,0.164
AK,1981Q3,104374.31,67676.07,36698.24,35.2%,0.687,0.200
AK,1981Q4,111767.38,69381.86,42385.51,37.9%,0.736,0.234
AK,1982Q1,117928.06,71439.23,46488.83,39.4%,0.776,0.261
AK,1982Q2,122609.91,73547.47,49062.43,40.0%,0.807,0.279
AK,1982Q3,126214.35,75831.71,50382.64,39.9%,0.831,0.291
AK,1982Q4,128845.23,78298.08,50547.14,39.2%,0.848,0.295
AK,1983Q1,130936.70,81067.25,49869.44,38.1%,0.862,0.296
AK,1983Q2,132916.13,83641.88,49274.26,37.1%,0.875,0.297
AK,1983Q3,134944.73,85986.28,48958.45,36.3%,0.888,0.298
AK,1983Q4,136877.33,87914.08,48963.25,35.8%,0.901,0.301
AK,1984Q1,138563.46,89278.21,49285.26,35.6%,0.912,0.306
AK,1984Q2,139791.23,90215.71,49575.51,35.5%,0.920,0.311
AK,1984Q3,140480.74,90868.20,49612.54,35.3%,0.925,0.314
AK,1984Q4,140404.80,91393.73,49011.08,34.9%,0.924,0.313
AK,1985Q1,139735.08,91929.97,47805.11,34.2%,0.920,0.307
AK,1985Q2,138908.91,92484.96,46423.94,33.4%,0.914,0.300
AK,1985Q3,138047.54,93056.18,44991.36,32.6%,0.909,0.293
AK,1985Q4,137095.93,93635.36,43460.57,31.7%,0.902,0.285
AK,1986Q1,135973.40,94311.81,41661.60,30.6%,0.895,0.275
AK,1986Q2,134352.95,94846.02,39506.93,29.4%,0.884,0.262
AK,1986Q3,131868.78,95334.28,36534.51,27.7%,0.868,0.242
AK,1986Q4,128526.76,95778.30,32748.46,25.5%,0.846,0.217
AK,1987Q1,124554.00,96027.76,28526.24,22.9%,0.820,0.188
AK,1987Q2,120441.70,96451.92,23989.78,19.9%,0.793,0.158
AK,1987Q3,117057.94,96882.85,20175.09,17.2%,0.770,0.133
AK,1987Q4,115229.70,97310.10,17919.60,15.6%,0.758,0.118
AK,1988Q1,115278.68,97753.99,17524.69,15.2%,0.759,0.116
AK,1988Q2,116140.76,98176.79,17963.98,15.5%,0.764,0.119
AK,1988Q3,116956.83,98617.83,18339.01,15.7%,0.770,0.122
AK,1988Q4,116486.50,99090.47,17396.03,14.9%,0.767,0.116
AK,1989Q1,114139.10,99616.22,14522.88,12.7%,0.751,0.097
AK,1989Q2,110590.81,100130.08,10460.72,9.5%,0.728,0.070
AK,1989Q3,107681.71,100630.23,7051.48,6.5%,0.709,0.047
AK,1989Q4,106418.90,101097.95,5320.94,5.0%,0.700,0.036
AK,1990Q1,107277.43,101913.56,5363.87,5.0%,0.706,0.039
AK,1990Q2,110159.30,104651.34,5507.97,5.0%,0.725,0.057
AK,1990Q3,113453.70,107781.02,5672.69,5.0%,0.747,0.088
AK,1990Q4,116642.16,110810.05,5832.11,5.0%,0.768,0.134
AK,1991Q1,119398.64,113428.71,5969.93,5.0%,0.786,0.193
AK,1991Q2,121480.63,115406.60,6074.03,5.0%,0.800,0.254
AK,1991Q3,122949.03,116269.39,6679.64,5.4%,0.809,0.305
AK,1991Q4,123941.28,116740.59,7200.69,5.8%,0.816,0.329
AK,1992Q1,124615.52,117458.13,7157.39,5.7%,0.820,0.328
AK,1992Q2,125142.20,118301.50,6840.71,5.5%,0.824,0.314
AK,1992Q3,125624.36,119148.13,6476.23,5.2%,0.827,0.297
AK,1992Q4,126175.39,119866.62,6308.77,5.0%,0.830,0.290
AK,1993Q1,126902.54,120557.41,6345.13,5.0%,0.835,0.300
AK,1993Q2,127831.95,121440.35,6391.60,5.0%,0.841,0.326
AK,1993Q3,128889.86,122445.36,6444.49,5.0%,0.848,0.360
AK,1993Q4,129964.98,123166.04,6798.93,5.2%,0.855,0.389
AK,1994Q1,130899.61,123959.73,6939.87,5.3%,0.862,0.397
AK,1994Q2,131732.90,124920.57,6812.33,5.2%,0.867,0.390
AK,1994Q3,132579.58,125923.79,6655.79,5.0%,0.873,0.381
AK,1994Q4,133522.23,126846.12,6676.11,5.0%,0.879,0.383
AK,1995Q1,134649.68,127917.20,6732.48,5.0%,0.886,0.405
AK,1995Q2,135858.72,129065.78,6792.94,5.0%,0.894,0.442
AK,1995Q3,137067.31,130213.94,6853.37,5.0%,0.902,0.490
AK,1995Q4,138219.24,131308.28,6910.96,5.0%,0.910,0.543
AK,1996Q1,139289.35,132324.88,6964.47,5.0%,0.917,0.597
AK,1996Q2,140206.13,133195.83,7010.31,5.0%,0.923,0.643
AK,1996Q3,141035.62,133983.84,7051.78,5.0%,0.928,0.685
AK,1996Q4,141826.65,134735.32,7091.33,5.0%,0.933,0.725
AK,1997Q1,142517.42,135391.55,7125.87,5.0%,0.938,0.755
AK,1997Q2,143172.81,136014.17,7158.64,5.0%,0.942,0.781
AK,1997Q3,143862.25,136669.14,7193.11,5.0%,0.947,0.808
AK,1997Q4,144632.24,137400.62,7231.61,5.0%,0.952,0.843
AK,1998Q1,145506.40,138231.08,7275.32,5.0%,0.958,0.888
AK,1998Q2,146495.55,139170.77,7324.78,5.0%,0.964,0.948
AK,1998Q3,147485.88,139802.32,7683.55,5.2%,0.971,1.010
AK,1998Q4,148379.08,140322.10,8056.98,5.4%,0.977,1.059
AK,1999Q1,149080.88,140842.34,8238.54,5.5%,0.981,1.084
AK,1999Q2,149578.34,141383.44,8194.90,5.5%,0.984,1.079
AK,1999Q3,149939.45,141974.03,7965.42,5.3%,0.987,1.049
AK,1999Q4,150319.22,142642.59,7676.63,5.1%,0.989,1.011
AK,2000Q1,150974.34,143415.07,7559.27,5.0%,0.994,0.995
AK,2000Q2,151935.90,144339.11,7596.80,5.0%,1.000,1.000
AK,2000Q3,153197.60,145449.26,7748.33,5.1%,1.008,1.020
AK,2000Q4,154782.01,146784.78,7997.23,5.2%,1.019,1.054
AK,2001Q1,156707.49,148365.37,8342.12,5.3%,1.031,1.101
AK,2001Q2,158852.46,150082.58,8769.87,5.5%,1.046,1.159
AK,2001Q3,161104.87,151823.15,9281.72,5.8%,1.060,1.228
AK,2001Q4,163387.01,153467.39,9919.62,6.1%,1.075,1.314
AK,2002Q1,165652.63,154901.03,10751.59,6.5%,1.090,1.425
AK,2002Q2,167974.01,156071.15,11902.87,7.1%,1.106,1.579
AK,2002Q3,170367.16,156918.43,13448.73,7.9%,1.121,1.787
AK,2002Q4,172813.88,157388.96,15424.92,8.9%,1.137,2.054
AK,2003Q1,175431.10,157534.60,17896.50,10.2%,1.155,2.388
AK,2003Q2,178309.53,157805.09,20504.44,11.5%,1.174,2.743
AK,2003Q3,181559.18,158761.28,22797.90,12.6%,1.195,3.057
AK,2003Q4,185255.00,160959.93,24295.07,13.1%,1.219,3.265
AK,2004Q1,189271.07,164743.65,24527.42,13.0%,1.246,3.305
AK,2004Q2,193557.89,169538.62,24019.27,12.4%,1.274,3.243
AK,2004Q3,198178.92,174580.93,23598.00,11.9%,1.304,3.193
AK,2004Q4,203028.42,179098.71,23929.70,11.8%,1.336,3.243
AK,2005Q1,207990.53,182518.00,25472.53,12.2%,1.369,3.457
AK,2005Q2,212920.98,185120.77,27800.21,13.1%,1.401,3.779
AK,2005Q3,217687.19,187364.72,30322.47,13.9%,1.433,4.129
AK,2005Q4,222055.80,189714.98,32340.82,14.6%,1.462,4.412
AK,2006Q1,225891.20,192488.62,33402.58,14.8%,1.487,4.565
AK,2006Q2,229100.23,195408.17,33692.06,14.7%,1.508,4.612
AK,2006Q3,231644.46,198051.17,33593.29,14.5%,1.525,4.606
AK,2006Q4,233556.65,199995.13,33561.52,14.4%,1.537,4.610
AK,2007Q1,234838.64,201008.82,33829.82,14.4%,1.546,4.655
AK,2007Q2,235383.22,201569.77,33813.45,14.4%,1.549,4.660
AK,2007Q3,235144.09,202363.21,32780.87,13.9%,1.548,4.525
AK,2007Q4,234380.39,204067.42,30312.97,12.9%,1.543,4.189
AK,2008Q1,233443.24,207073.08,26370.16,11.3%,1.536,3.647
AK,2008Q2,232547.31,210699.50,21847.82,9.4%,1.531,3.024
AK,2008Q3,231524.49,213951.02,17573.48,7.6%,1.524,2.435
AK,2008Q4,230278.43,215844.81,14433.61,6.3%,1.516,2.001
AK,2009Q1,228595.94,215733.37,12862.56,5.6%,1.505,1.784
AK,2009Q2,226596.74,214286.26,12310.47,5.4%,1.491,1.709
AK,2009Q3,224963.61,212512.11,12451.50,5.5%,1.481,1.729
AK,2009Q4,224080.64,211415.64,12664.99,5.7%,1.475,1.759
AK,2010Q1,223977.86,211747.04,12230.82,5.5%,1.474,1.699
AK,2010Q2,224510.56,213281.51,11229.05,5.0%,1.478,1.560
AK,2010Q3,225255.99,213993.19,11262.80,5.0%,1.483,1.352
AK,2010Q4,225874.38,214580.66,11293.72,5.0%,1.487,1.131
AK,2011Q1,226315.08,214999.32,11315.75,5.0%,1.490,0.949
AK,2011Q2,226400.40,215080.38,11320.02,5.0%,1.490,0.793
AK,2011Q3,226244.27,214932.06,11312.21,5.0%,1.489,0.671
AK,2011Q4,226027.93,214726.54,11301.40,5.0%,1.488,0.587
AK,2012Q1,226057.15,214754.29,11302.86,5.0%,1.488,0.548
AK,2012Q2,226635.04,215303.29,11331.75,5.0%,1.492,0.548
AK,2012Q3,227504.06,215838.68,11665.38,5.1%,1.497,0.565
AK,2012Q4,228391.42,216535.54,11855.88,5.2%,1.503,0.574
AK,2013Q1,229162.55,217540.49,11622.06,5.1%,1.508,0.563
AK,2013Q2,229732.32,218245.70,11486.62,5.0%,1.512,0.529
AK,2013Q3,230164.91,218656.66,11508.25,5.0%,1.515,0.483
AK,2013Q4,230734.24,219197.53,11536.71,5.0%,1.519,0.443
AK,2014Q1,231667.57,220084.19,11583.38,5.0%,1.525,0.326
AK,2014Q2,233122.01,220167.31,12954.70,5.6%,1.534,0.364
AK,2014Q3,235013.29,223262.62,11750.66,5.0%,1.547,0.290
AK,2014Q4,237039.68,225187.69,11851.98,5.0%,1.560,0.232
AK,2015Q1,238894.24,225263.27,13630.97,5.7%,1.572,0.267
AK,2015Q2,240392.17,222959.00,17433.17,7.3%,1.582,0.342
AK,2015Q3,241545.80,224017.09,17528.71,7.3%,1.590,0.344
AK,2015Q4,242483.88,225976.82,16507.06,6.8%,1.596,0.325
AK,2016Q1,243292.39,228063.98,15228.41,6.3%,1.601,0.300
AZ,1975Q1,33404.32,31230.48,2173.84,6.5%,0.208,0.000
AZ,1975Q2,33482.18,31547.71,1934.47,5.8%,0.208,0.000
AZ,1975Q3,33538.81,31785.47,1753.34,5.2%,0.209,0.000
AZ,1975Q4,33699.20,32014.24,1684.96,5.0%,0.210,0.000
AZ,1976Q1,34094.17,32389.46,1704.71,5.0%,0.212,0.000
AZ,1976Q2,34658.41,32925.49,1732.92,5.0%,0.215,0.000
AZ,1976Q3,35261.47,33498.40,1763.07,5.0%,0.219,0.000
AZ,1976Q4,35959.12,34161.16,1797.96,5.0%,0.224,0.000
AZ,1977Q1,36837.58,34995.70,1841.88,5.0%,0.229,0.000
AZ,1977Q2,37943.44,36046.27,1897.17,5.0%,0.236,0.000
AZ,1977Q3,39335.93,37369.14,1966.80,5.0%,0.245,0.001
AZ,1977Q4,41013.22,38962.55,2050.66,5.0%,0.255,0.001
AZ,1978Q1,42963.20,40815.04,2148.16,5.0%,0.267,0.002
AZ,1978Q2,45206.09,42945.78,2260.30,5.0%,0.281,0.003
AZ,1978Q3,47715.72,45329.94,2385.79,5.0%,0.297,0.005
AZ,1978Q4,50373.72,47855.04,2518.69,5.0%,0.313,0.008
AZ,1979Q1,53058.89,50405.94,2652.94,5.0%,0.330,0.012
AZ,1979Q2,55631.64,52850.06,2781.58,5.0%,0.346,0.016
AZ,1979Q3,57997.74,55097.86,2899.89,5.0%,0.361,0.020
AZ,1979Q4,60142.43,56826.09,3316.34,5.5%,0.374,0.023
AZ,1980Q1,62072.36,58307.92,3764.44,6.1%,0.386,0.027
AZ,1980Q2,63901.85,59587.90,4313.95,6.8%,0.397,0.031
AZ,1980Q3,65714.46,60682.47,5031.99,7.7%,0.409,0.036
AZ,1980Q4,67351.89,61606.05,5745.84,8.5%,0.419,0.041
AZ,1981Q1,68761.66,62387.00,6374.67,9.3%,0.428,0.046
AZ,1981Q2,69885.95,63121.62,6764.33,9.7%,0.435,0.049
AZ,1981Q3,70615.46,63915.48,6699.98,9.5%,0.439,0.048
AZ,1981Q4,70915.27,64875.26,6040.01,8.5%,0.441,0.044
AZ,1982Q1,71153.83,66067.35,5086.49,7.1%,0.442,0.037
AZ,1982Q2,71639.40,67384.47,4254.93,5.9%,0.445,0.031
AZ,1982Q3,72392.94,68679.46,3713.49,5.1%,0.450,0.027
AZ,1982Q4,73479.15,69805.19,3673.96,5.0%,0.457,0.027
AZ,1983Q1,74733.91,70997.21,3736.70,5.0%,0.465,0.030
AZ,1983Q2,75818.19,72027.28,3790.91,5.0%,0.471,0.034
AZ,1983Q3,76711.98,72876.38,3835.60,5.0%,0.477,0.040
AZ,1983Q4,77661.39,73778.32,3883.07,5.0%,0.483,0.050
AZ,1984Q1,78838.30,73739.81,5098.49,6.5%,0.490,0.069
AZ,1984Q2,80180.35,73374.55,6805.80,8.5%,0.499,0.093
AZ,1984Q3,81538.32,73044.43,8493.89,10.4%,0.507,0.116
AZ,1984Q4,82891.50,72890.69,10000.81,12.1%,0.515,0.138
AZ,1985Q1,84308.87,73014.42,11294.45,13.4%,0.524,0.157
AZ,1985Q2,85778.65,73330.12,12448.53,14.5%,0.533,0.174
AZ,1985Q3,87330.51,73721.51,13609.00,15.6%,0.543,0.191
AZ,1985Q4,88949.84,74069.21,14880.63,16.7%,0.553,0.211
AZ,1986Q1,90582.13,74308.44,16273.69,18.0%,0.563,0.232
