Textbox78,Textbox20,Textbox24,Textbox28,Textbox32,Textbox36,Textbox8,Id,Id1,Textbox2,Textbox95,TfpId,Textbox5,Textbox79,Textbox21,Textbox25,Textbox29,Textbox33,Textbox37,Textbox9,Textbox67,Textbox68,Textbox69,Textbox70,Textbox73,Textbox76,Textbox82
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,P.Y. HABSAH ENTERPRISE,90000184,NORTH2,21840,90000184-2,PRIMAX 95,3018,3002,2490,2364,2125,2421,2903,17969,23287,23276,16082,20959,20934,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SPASDA SERVICE STATION,90000195,NORTH1,43680,90000195-2,PRIMAX 97,705,558,548,466,433,634,317,5731,10714,9690,9401,8971,8405,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SPASDA SERVICE STATION,90000195,NORTH1,43680,90000195-3,PRIMAX 95,4036,3031,3745,3718,3443,3671,3876,7485,23654,23654,18287,25593,25593,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SPASDA SERVICE STATION,90000195,NORTH1,43680,90000195-1,BIODIESEL B7 (RETAIL),1328,366,882,1516,1380,1622,873,16481,14948,14488,13877,17703,16481,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SPASDA SERVICE STATION,90000195,NORTH1,43680,90000195-4,PRIMAX 95,4036,3032,3745,3718,3443,3670,3876,22498,14464,8134,22498,18898,11919,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PSS NINA,90000198,NORTH2,54600,90000198-2,PRIMAX 95,3616,3283,3434,3343,3324,3287,3301,20994,20994,25956,25956,17837,22535,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PSS NINA,90000198,NORTH2,54600,90000198-1,PRIMAX 95,3616,3283,3433,3342,3324,3287,3300,10630,16124,21258,21258,21258,17413,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PSS NINA,90000198,NORTH2,54600,90000198-3,PRIMAX 95,3616,3284,3434,3343,3324,3286,3301,24534,19236,20057,10345,8660,24087,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PSS NINA,90000198,NORTH2,54600,90000198-4,BIODIESEL B7 (RETAIL),1332,1287,2742,2575,2207,2733,3077,13226,17270,21388,18681,16268,14242,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PSS TUNAS LARUT ENTERPRISE,90000214,NORTH2,70980,90000214-3,PRIMAX 95,6269,6662,5953,5662,5952,5330,6002,10004,11252,20549,17548,16125,22655,
